ID,final_result,d_male,d_female,does father have a professional degree,does mother have a professional degree,d_stratum1,d_stratum2,d_stratum3,d_stratum4,d_stratum5,d_stratum6,d_level1sisben,d_level2sisben,d_level3sisben,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,JOB,Private school,public school,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,WC_PRO,FEP_PRO
88,2,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,1,0,55,68,56,55,62,12,33,51,52,125
89,4,1,0,1,1,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,67,62,59,75,88,98,100,89,93,153
90,4,1,0,0,1,0,0,0,0,0,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,72,52,48,61,82,72,91,72,71,167
91,4,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,74,81,83,85,92,83,91,100,93,205
92,4,1,0,1,1,0,0,0,1,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,0,0,1,0,74,62,68,75,88,67,75,78,67,185
93,1,1,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,1,1,1,0,1,1,1,0,1,1,0,54,54,45,55,49,97,3,8,12,114
94,4,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,53,52,36,49,64,100,99,10,71,71
95,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,46,67,53,58,100,35,1,2,62,120
96,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,0,54,57,45,51,40,61,20,11,49,97
97,4,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,0,1,0,80,62,59,64,75,100,81,98,80,179
98,4,0,1,1,1,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,74,55,66,64,80,84,81,88,54,168
99,3,1,0,1,1,0,0,0,1,0,0,0,0,0,4,1,1,1,1,0,1,1,1,1,1,0,1,0,63,53,51,52,73,82,33,22,71,124
100,4,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,61,60,59,55,76,92,85,23,95,118
101,4,1,0,1,1,0,0,0,0,1,0,0,0,0,3,1,1,1,0,1,1,1,1,1,1,0,1,0,63,75,53,75,88,93,98,93,76,125
102,3,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,67,43,48,68,85,47,35,43,34,148
103,4,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,0,1,1,1,1,1,0,1,0,83,81,68,81,82,100,86,100,98,167
104,4,1,0,1,1,0,0,0,1,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,67,62,45,64,70,90,51,68,88,155
105,4,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,77,75,61,81,100,95,98,97,34,155
106,4,0,1,1,1,0,0,0,0,0,1,0,0,0,6,1,1,1,1,1,1,1,1,1,1,0,1,0,71,67,64,68,88,91,97,93,86,162
107,2,0,1,1,1,0,0,1,0,0,0,0,0,0,3,0,1,1,1,0,0,1,1,1,1,0,0,1,62,53,50,52,49,59,53,25,3,159
108,4,0,1,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,83,65,76,85,92,91,93,88,78,181
109,4,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,67,75,72,78,96,99,66,97,80,174
110,4,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,74,64,59,75,96,95,70,1,96,79
111,4,0,1,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,65,62,57,63,82,99,85,95,64,164
112,4,1,0,0,1,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,83,75,61,70,92,98,90,20,85,68
113,4,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,77,75,72,75,88,83,99,100,86,201
114,4,1,0,1,1,0,0,1,0,0,0,0,0,0,3,1,1,1,1,0,1,1,1,1,1,0,1,0,67,62,57,75,82,98,95,71,36,136
115,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,0,39,57,61,48,42,18,16,1,23,129
116,3,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,0,54,53,55,46,60,78,51,54,33,135
117,3,1,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,1,1,0,0,1,1,1,0,0,0,1,58,58,48,60,50,81,79,62,6,162
118,4,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1,0,1,1,1,0,1,1,1,1,0,1,0,69,65,68,78,85,93,78,1,96,168
119,4,1,0,1,1,0,0,0,0,0,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,80,81,78,100,96,98,89,62,41,177
120,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,0,1,1,1,1,1,1,0,48,53,49,52,50,51,40,20,71,97
121,4,1,0,1,1,0,0,0,0,0,1,0,0,0,6,1,1,1,1,1,1,1,1,1,1,0,1,0,67,60,74,64,82,88,77,78,32,175
122,4,1,0,1,1,0,0,0,1,0,0,0,0,0,6,1,1,1,1,1,1,1,1,1,1,0,1,0,83,71,66,72,88,100,99,94,60,178
123,4,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,80,55,47,72,85,84,59,82,29,139
124,4,0,1,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,60,67,56,75,85,87,93,81,98,153
125,4,1,0,1,1,0,0,0,0,0,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,65,56,48,66,80,75,76,12,77,135
126,4,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,72,71,61,68,100,100,80,95,98,165
127,4,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,1,0,1,0,1,1,1,0,1,0,80,51,59,68,96,87,61,40,79,179
128,4,0,1,1,1,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,1,1,1,1,0,1,0,74,60,64,71,76,100,81,11,83,174
129,4,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,1,0,80,64,55,63,58,98,95,28,19,188
130,4,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,0,1,1,1,1,0,1,0,78,68,56,82,64,77,57,70,100,138
131,4,0,1,0,0,0,1,0,0,0,0,1,0,0,6,1,1,1,0,0,0,1,1,1,0,0,1,0,62,62,68,60,52,75,71,61,94,126
132,2,1,0,1,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,46,49,47,51,59,62,37,26,3,3
133,4,1,0,1,1,0,1,0,0,0,0,0,0,0,4,1,1,1,1,0,1,1,1,1,1,0,1,0,83,75,72,78,92,100,97,94,96,172
134,3,1,0,1,1,0,1,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,63,57,49,57,76,59,34,29,37,131
135,4,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,65,58,68,61,71,100,87,90,66,66
136,3,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,0,0,1,0,60,47,48,58,76,71,73,57,56,168
137,3,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,1,1,1,1,1,1,1,1,1,0,1,0,72,62,50,70,88,75,22,32,65,65
138,4,0,1,1,1,0,0,0,1,0,0,0,0,0,4,1,1,1,1,0,1,1,1,1,1,0,1,0,65,54,65,68,82,69,98,98,95,162
139,4,1,0,1,1,0,1,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,69,56,56,74,92,99,98,99,39,182
140,4,1,0,1,1,0,1,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,69,68,65,68,96,99,82,59,54,54
141,3,0,1,1,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,63,60,59,78,67,80,32,65,77,166
142,1,1,0,0,0,1,0,0,0,0,0,0,1,0,7,0,1,1,1,0,0,1,1,1,1,0,0,1,50,47,45,41,43,28,10,7,0,113
143,3,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,1,0,0,1,1,1,1,0,1,0,63,54,53,65,57,48,53,83,15,165
144,2,1,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1,1,1,1,0,1,1,0,1,0,1,0,54,49,39,51,55,60,6,14,88,127
145,4,1,0,1,1,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,1,0,1,0,80,75,74,91,88,92,88,94,70,176
146,4,1,0,1,1,0,0,0,1,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,76,60,66,70,96,99,93,100,67,168
147,3,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,1,1,1,1,1,0,1,1,1,0,1,0,50,51,55,57,60,61,57,81,32,136
148,4,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,1,1,0,0,1,1,1,1,0,1,0,83,71,65,78,76,99,98,78,18,181
149,3,1,0,1,1,0,0,0,1,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,74,62,53,67,68,98,51,6,23,167
150,2,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,47,43,45,46,46,20,46,45,34,126
151,4,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,69,68,60,76,92,99,79,40,79,156
