IDNo,ID,final_result,Female,Male,YoG,SGPA,CGPA100,CGPA200,CGPA300
93812,2935,Pass with distinction,1,0,1.3,2.57,4.06,4.47,4.76
54738,2936,Pass,0,1,1.3,2.11,3.2,2.43,2.32
86518,2937,Pass,0,1,1.3,2.19,3.98,3.29,3.55
60662,2938,Pass,0,1,1.3,3.2,3.71,3.25,3.26
95261,2939,Pass,0,1,1.3,2.81,2.55,2.66,2.46
74670,2940,Pass,0,1,1.3,2.97,3.02,2.4,2.81
41583,2941,Pass,0,1,1.3,2.66,4.35,3.66,3.83
80360,2942,Borderline pass,0,1,1.3,3.13,3.35,2.27,2.93
67517,2943,Pass,0,1,1.4,2.64,3.2,2.76,3.13
90196,2944,Pass,0,1,1.4,2.65,3.69,2.73,3.41
86853,2945,Pass,0,1,1.4,2.22,4.11,4,3.62
74261,2946,Pass with distinction,0,1,1.4,3.05,4.02,4.34,3.52
96594,2947,Pass,0,1,1.4,2.77,2.82,2.7,2.79
83959,2948,Pass,0,1,1.4,2.38,3.36,3.69,3.34
83122,2949,Pass,0,1,1.4,2.99,3.87,3.43,3.14
81712,2950,Pass,0,1,1.4,3.59,3.91,3.68,3.83
92906,2951,Pass,0,1,1.4,3.13,3.64,3.06,3.31
26082,2952,Pass,0,1,1.4,2.99,3.89,3.74,3.31
68137,2953,Pass,0,1,1.4,3.54,3.84,3.81,3.75
36454,2954,Pass with distinction,1,0,1.4,3.19,4.31,4.24,4.86
37860,2955,Pass,0,1,1.4,3.91,3.96,3.26,3.1
81852,2956,Pass,0,1,1.4,1.83,3.2,3.28,3.76
24333,2957,Pass,0,1,1.4,2.73,3.73,3.81,3.83
97424,2958,Pass with distinction,0,1,1.4,2.71,4.13,4.11,3.45
51702,2959,Pass with distinction,0,1,1.4,3.89,4.38,4.53,3.9
74257,2960,Pass with distinction,0,1,1.4,3.68,4.24,4.44,4.24
30624,2961,Pass,0,1,1.4,2.43,3.8,3.34,3.48
90990,2962,Pass,0,1,1.4,2.31,2.67,3.2,3.35
76573,2963,Pass,1,0,1.4,2.86,2.33,1.8,2.58
46410,2964,Pass,0,1,1.4,3.05,3.76,3.21,3.03
81381,2965,Borderline pass,0,1,1.5,3.44,2.84,2.1,2.45
